0.633770, 0.384718, 0.239397; 0.184669, 0.143174, 0.126331, 0.105970, 0.109581, 0.099417, 0.088259, 0.081649, 0.073965, 0.069286, 0.063670, 0.060095, 0.055827, 0.052127, 0.049754, 0.047346, 0.045368, 0.042920, 0.041373, 0.039331, 0.037508, 0.038904, 0.037305, 0.036210, 0.049891, 0.048431, 0.046688, 0.045070, 0.052886, 0.051317, 0.050231, 0.048785, 0.047681, 0.046318, 0.053664, 0.053244, 0.051894, 0.050753, 0.049521, 0.140543, 0.137686, 0.139102, 0.137081, 0.136617, 0.133462, 0.132411, 0.132544
0.000000; 0.013348, 0.008501, 0.006236, 0.005317, 0.004354, 0.005069, 0.194945, 0.181007, 0.168951, 0.143445, 3.078365, 2.928968, 2.793645, 2.462948, 2.366375, 2.277094, 2.052457, 1.985027, 1.921818, 1.759319, 1.716123, 1.668668, 1.545574, 1.507987, 1.471225, 1.374796, 1.344166, 1.314878, 1.238240, 1.213355, 1.189598, 1.125814, 1.105204, 1.085341, 1.066182, 1.014652, 0.999296, 0.983035, 0.939161, 0.926209, 0.917073, 0.879221, 0.866650, 0.854394, 0.821447, 0.810424, 0.799696, 0.777745, 0.768094
1.223947, 0.622109, 0.384216, 0.295295, 1.741484, 1.630199, 1.470328, 1.347373, 1.179387, 1.057582, 0.998197, 0.899180, 0.837568, 0.801986, 0.738476, 0.728663, 0.678614, 0.662879, 0.592381, 0.566772, 0.541074, 0.521925, 0.523576; 0.513394, 0.493043, 0.472401, 0.490267, 0.471376, 0.454013, 0.437939, 0.428108, 0.416789, 0.412770, 0.405857, 0.398138, 0.386570, 0.368406, 0.358292, 0.348703, 0.341627, 0.333460, 0.325156, 0.323228, 0.315779, 0.309640, 0.302559, 0.296714, 0.297890, 0.291475, 0.286009
0.016363; 0.010659, 0.022147, 0.015376, 0.068289, 0.063500, 0.052264, 0.044423, 0.038660, 0.058658, 0.053058, 0.047923, 0.106338, 0.110354, 0.102048, 0.094766, 0.091490, 0.085587, 0.080464, 0.075871, 0.077230, 0.073159, 0.069494, 0.068678, 0.065509, 0.065997, 0.063268, 0.061854, 0.059455, 0.058766, 0.095131, 0.100390, 0.098087, 0.094962, 0.093444, 0.090414, 0.107325, 0.105276, 0.115852, 0.116485, 0.113375, 0.111553, 0.138676, 0.135040, 0.132252, 0.133653, 0.130385, 0.127397, 0.124422, 0.124908
0.000031, 0.000063, 0.001858, 0.009024, 0.727567, 0.722704, 0.573984, 0.561533; 0.227836, 0.209765, 0.205578, 0.191580, 0.188881, 0.208693, 0.235734, 0.220942, 0.215541, 0.220194, 0.215623, 0.203537, 0.199807, 0.189458, 0.186812, 0.206312, 0.211295, 0.222772, 0.219121, 0.209379, 0.206157, 0.218654, 0.215507, 0.190835, 0.183852, 0.181192, 0.196761, 0.196261, 0.215932, 0.213574, 0.206108, 0.204639, 0.197835, 0.195978, 0.189764, 0.206905, 0.200781, 0.198697, 0.193088, 0.191180, 0.213647, 0.244072
0.000000; 0.000002, 0.027658, 0.022321, 0.015753, 0.124018, 0.094238, 0.088485, 0.083412, 0.068451, 0.065369, 0.062559, 0.053749, 0.052235, 0.050417, 0.044611, 0.043273, 0.039315, 0.038268, 0.037279, 0.034051, 0.033264, 0.032518, 0.030071, 0.029456, 0.028867, 0.026995, 0.026502, 0.024966, 0.024556, 0.024151, 0.022765, 0.022514, 0.023383, 0.022160, 0.021844, 0.021536, 0.020494, 0.020222, 0.019302, 0.019061, 0.018825, 0.018025, 0.017857, 0.017650, 0.036251, 0.036040, 0.035857, 0.034248, 0.034060
0.413776, 0.259892, 0.175848, 0.255851, 0.239414, 0.325514, 0.274573, 0.355418, 0.334298, 0.308080, 0.278899, 0.277481, 0.423115, 0.432540, 0.473487, 0.448782, 0.486024; 0.486589, 0.616919, 0.583292, 0.596795, 0.635310, 0.605949, 0.581857, 0.579359, 0.596420, 0.730432, 0.757933, 0.744980, 0.731292, 0.733601, 0.717317, 0.698819, 0.691632, 0.679698, 0.675453, 0.657238, 0.659517, 0.641254, 0.627551, 0.647284, 0.641369, 0.628193, 0.623245, 0.608283, 0.596075, 0.774765, 0.757100, 0.753314, 0.794875
0.012293, 0.411593, 0.582422, 0.640010, 0.523297, 0.572986, 0.505591, 0.545686, 0.506235, 0.458109; 0.431369, 0.395431, 0.403010, 0.375204, 0.350526, 0.434853, 0.410945, 0.403806, 0.388820, 0.369471, 0.353057, 0.337002, 0.326433, 0.314404, 0.351629, 0.339002, 0.419498, 0.411934, 0.397621, 0.384257, 0.382859, 0.373442, 0.410804, 0.399772, 0.393312, 0.397959, 0.387937, 0.381702, 0.372364, 0.363057, 0.369628, 0.361099, 0.362264, 0.373024, 0.364808, 0.412676, 0.462246, 0.453259, 0.445028, 0.437345
0.346349; 0.186989, 0.121659, 0.090390, 0.073873, 0.063508, 0.053954, 0.064113, 0.065090, 0.072272, 0.065343, 0.060025, 0.055594, 0.051859, 0.133503, 0.127921, 0.121916, 0.114049, 0.109267, 0.104913, 0.097756, 0.094219, 0.090958, 0.092276, 0.089545, 0.086943, 0.082124, 0.097300, 0.094812, 0.089956, 0.087817, 0.085780, 0.081790, 0.080008, 0.078525, 0.076917, 0.073735, 0.072292, 0.070912, 0.069416, 0.068151, 0.086876, 0.084168, 0.082559, 0.081590, 0.079210, 0.082680, 0.081183, 0.079070, 0.100167
0.016088, 0.010141, 0.126117, 0.101065, 0.077668; 0.169546, 0.315166, 0.470966, 0.435548, 0.391677, 0.360791, 0.358614, 0.334884, 0.308935, 0.293024, 0.277096, 0.259503, 0.297580, 0.289602, 0.276153, 0.263003, 0.252466, 0.240961, 0.230468, 0.222584, 0.215600, 0.235714, 0.252261, 0.383131, 0.371789, 0.359811, 0.413595, 0.403726, 0.392204, 0.382362, 0.371165, 0.362249, 0.363699, 0.353823, 0.346153, 0.336769, 0.340244, 0.353514, 0.346385, 0.338290, 0.339986, 0.333504, 0.328567, 0.323181, 0.316363
0.027902, 0.059756, 0.048149, 0.027400, 0.024952, 0.033578, 0.032301, 0.029101, 0.027885, 0.022123, 0.021490, 0.093041, 0.092783, 0.160652, 0.152250, 0.144139, 0.155500, 0.145069, 0.138604, 0.131250, 0.126021, 0.119549, 0.115203; 0.111732, 0.114396, 0.110844, 0.107999, 0.109419, 0.106378, 0.104638, 0.101275, 0.098741, 0.096407, 0.094197, 0.091377, 0.091853, 0.091101, 0.091169, 0.089016, 0.087490, 0.084155, 0.082516, 0.081242, 0.079742, 0.175285, 0.173665, 0.196090, 0.194272, 0.188347, 0.186284
0.019666, 0.024633, 0.023587, 0.022835, 0.037762, 0.035014, 0.033640, 0.025193, 0.024983, 0.023479, 0.026338, 0.042736, 0.039520, 0.391726, 0.387548, 0.384410, 0.378263, 0.371151; 0.368465, 0.302752, 0.296399, 0.296776, 0.293076, 0.298345, 0.258468, 0.255764, 0.252131, 0.248209, 0.243791, 0.239221, 0.212854, 0.211151, 0.210465, 0.201696, 0.197640, 0.194838, 0.193953, 0.200027, 0.198768, 0.190856, 0.189988, 0.186639, 0.185250, 0.183078, 0.180959, 0.168597, 0.167794, 0.168040, 0.165623, 0.164148
0.000540; 0.000283, 0.001479, 0.001092, 0.000865, 0.000740, 0.000628, 0.004063, 0.009922, 0.009655, 0.008535, 0.007648, 0.007543, 0.070500, 0.064892, 0.060186, 0.058487, 0.054616, 0.051197, 0.048181, 0.053881, 0.051125, 0.048619, 0.047315, 0.045154, 0.043185, 0.041386, 0.040435, 0.038847, 0.037383, 0.037577, 0.037244, 0.036168, 0.035012, 0.034337, 0.033262, 0.032383, 0.031432, 0.030889, 0.030022, 0.029201, 0.031201, 0.030687, 0.029947, 0.033404, 0.032939, 0.032150, 0.031399, 0.030704, 0.030289
0.000000; 0.000005, 0.001060, 0.001344, 0.001126, 0.108775, 0.108271, 0.104263, 0.100792, 0.082901, 0.080753, 0.078507, 0.063629, 0.169241, 0.465500, 0.443106, 0.401130, 0.384205, 0.368722, 0.354612, 0.327147, 0.331936, 0.321149, 0.299967, 0.292394, 0.283830, 0.276034, 0.260052, 0.253431, 0.246983, 0.240882, 0.228633, 0.223358, 0.226238, 0.217627, 0.213597, 0.216304, 0.211836, 0.203310, 0.199331, 0.195727, 0.192261, 0.338076, 0.354196, 0.349193, 0.343306, 0.338449, 0.333738, 0.329281, 0.328961
0.150700, 0.086206, 0.074635, 0.072773, 0.089567, 0.085575, 0.094717, 0.081873, 0.154180, 0.138499, 0.125065, 0.124827, 0.126149, 0.208438, 0.210368, 0.197230, 0.241197; 0.270932, 0.258583, 0.246187, 0.325554, 0.309858, 0.295376, 0.282085, 0.270888, 0.261883, 0.378162, 0.394092, 0.652196, 0.640577, 0.620019, 0.599539, 0.579929, 0.562432, 0.591907, 0.587126, 0.571790, 0.555457, 0.540011, 0.529417, 0.516404, 0.520893, 0.507747, 0.499176, 0.487192, 0.494030, 0.484582, 0.474417, 0.478605, 0.468417
0.003836; 0.003022, 0.001811, 0.002259, 0.002092, 0.001630, 0.027492, 0.029094, 0.025383, 0.023022, 0.021782, 0.019754, 0.018321, 0.020016, 0.018725, 0.021066, 0.019949, 0.020138, 0.018767, 0.047099, 0.044628, 0.043115, 0.087137, 0.140851, 0.136142, 0.170822, 0.165667, 0.161946, 0.160920, 0.277514, 0.268620, 0.260185, 0.252305, 0.244905, 0.243476, 0.274143, 0.270620, 0.263559, 0.256976, 0.282921, 0.276382, 0.273709, 0.267478, 0.261363, 0.255683, 0.250210, 0.244840, 0.239703, 0.234934, 0.230191
