1.000000, 1.000000, 1.000000; 1.000003, 1.002429, 1.024955, 1.033088, 1.436521, 1.453396, 1.455115, 1.438510, 1.441201, 1.428617, 1.431624, 1.442006, 1.443810, 1.445513, 1.436072, 1.471918, 1.479854, 1.481061, 1.477098, 1.478627, 1.482166, 1.683413, 1.692593, 1.704144, 2.661745, 2.649385, 2.658409, 2.667186, 3.495301, 3.522661, 3.533140, 3.554157, 3.545221, 3.556097, 4.461776, 4.644463, 4.665716, 4.640976, 4.660596, 2.196722, 2.189842, 2.355276, 2.371619, 2.439444, 2.452080, 2.496598, 2.624045
1.000000; 1.000000, 1.000000, 1.000041, 1.047636, 1.048615, 1.729246, 1.048611, 1.045642, 1.043348, 1.047790, 1.092174, 1.091940, 1.091919, 1.092401, 1.092201, 1.092021, 1.092401, 1.092317, 1.092160, 1.092488, 1.100822, 1.100443, 1.101243, 1.102366, 1.101998, 1.102770, 1.102409, 1.102077, 1.104417, 1.104090, 1.104050, 1.104694, 1.104389, 1.104106, 1.103839, 1.104415, 1.107274, 1.106985, 1.107606, 1.110741, 1.122222, 1.123307, 1.122927, 1.122455, 1.123459, 1.122992, 1.122547, 1.143835, 1.143835
1.000000, 1.033116, 1.102869, 1.098900, 1.314345, 1.338146, 1.566119, 1.509727, 1.553159, 1.613940, 1.567743, 1.583041, 1.671099, 1.634360, 1.649164, 1.743952, 1.763574, 1.933820, 2.022236, 2.079047, 2.114734, 2.107017, 2.331811; 2.295910, 2.328133, 2.339830, 2.611118, 2.626516, 2.642189, 2.657400, 2.735797, 2.698475, 2.836662, 2.934613, 2.896173, 2.914569, 3.010063, 3.020929, 3.030940, 2.984097, 3.004714, 3.014796, 3.040871, 3.056813, 3.022454, 3.033372, 3.062678, 3.139582, 3.150769, 3.176458
1.000000; 1.000001, 1.703618, 1.726626, 1.424762, 1.429604, 1.427641, 1.427362, 1.429494, 2.413630, 2.477671, 2.478385, 2.513434, 3.070194, 3.067504, 3.056003, 3.087163, 3.075351, 3.069762, 3.060691, 3.360305, 3.349780, 3.339974, 3.449485, 3.442802, 3.779606, 3.779294, 3.793537, 3.793498, 3.987992, 3.957946, 4.402190, 4.538340, 4.582720, 4.520723, 4.545659, 5.568731, 5.724858, 6.550583, 7.000695, 7.055577, 7.245675, 7.677496, 7.691833, 7.781176, 8.082196, 8.099413, 8.130914, 8.144900, 8.353910
1.000000, 1.883475, 1.046035, 1.233150, 1.023756, 1.045438, 1.140233, 1.120514; 1.401546, 1.400204, 1.359950, 1.373544, 1.348000, 1.809972, 2.247537, 2.249649, 2.176618, 2.526231, 2.457542, 2.456266, 2.397053, 2.400823, 2.360524, 3.003821, 3.172180, 3.755115, 3.677638, 3.685854, 3.613362, 4.263613, 4.188152, 5.105339, 5.083119, 4.999244, 5.848855, 5.883060, 6.830336, 6.750713, 6.725631, 6.693200, 6.672859, 6.606940, 6.590870, 7.411863, 7.400435, 7.324536, 7.318484, 7.246382, 8.233785, 9.113172
1.000000; 1.000000, 1.000079, 1.002813, 1.003920, 1.247626, 1.286880, 1.277549, 1.269734, 1.281998, 1.275468, 1.269734, 1.279386, 1.294211, 1.288505, 1.298767, 1.293465, 1.328001, 1.322173, 1.316875, 1.325756, 1.320801, 1.316620, 1.327644, 1.323303, 1.319263, 1.336104, 1.332404, 1.352637, 1.350283, 1.347094, 1.352576, 1.361239, 1.504366, 1.511316, 1.507657, 1.504083, 1.510520, 1.506966, 1.512988, 1.509707, 1.506427, 1.512051, 1.516218, 1.513005, 2.339271, 2.331638, 2.327135, 2.346193, 2.338994
1.000000, 1.480833, 1.524869, 2.444885, 3.125054, 4.027576, 4.027136, 4.523675, 5.031458, 5.305655, 5.305118, 5.854134, 4.516664, 5.282956, 6.285743, 6.503069, 7.505192; 7.798454, 7.317075, 7.350693, 8.205832, 9.221481, 9.264299, 9.386321, 10.026801, 10.977248, 9.741127, 10.697253, 11.096710, 10.942746, 11.637967, 11.909707, 12.082747, 12.557831, 12.886215, 12.943055, 13.019275, 13.709853, 13.723592, 13.887810, 14.868187, 14.860047, 15.015266, 15.481766, 15.498462, 15.618365, 10.218932, 10.228278, 10.568695, 11.551215
1.000000, 1.030312, 2.019642, 3.017093, 3.146995, 4.146885, 4.378922, 5.378516, 5.799032, 5.861750; 6.153624, 6.172312, 7.062191, 7.115450, 7.142705, 7.155381, 7.206358, 7.703638, 7.935642, 7.934036, 7.981388, 7.976183, 8.164358, 8.240461, 9.130529, 9.177325, 8.678023, 8.980312, 8.983068, 8.985009, 9.455605, 9.587995, 10.512295, 10.566286, 10.818509, 11.510314, 11.552641, 11.780878, 11.807998, 11.806770, 12.574545, 12.588822, 13.156246, 14.072153, 14.073961, 14.005768, 14.200712, 14.201325, 14.227594, 14.268831
1.000000; 1.005291, 1.007206, 1.013297, 1.011038, 1.095944, 1.092278, 1.744920, 2.191877, 2.981547, 2.958329, 2.974573, 2.986389, 2.996694, 2.205564, 2.221302, 2.203736, 2.316033, 2.297364, 2.281543, 2.316033, 2.299844, 2.285804, 2.657180, 2.651700, 2.644438, 2.663729, 3.496599, 3.489206, 3.505848, 3.498601, 3.491559, 3.506871, 3.499439, 3.511732, 3.507199, 3.524805, 3.518262, 3.512433, 3.651277, 3.644354, 4.632803, 4.642694, 4.638087, 4.698459, 4.707117, 5.215550, 5.206767, 5.225475, 6.036326
1.000000, 1.000000, 1.103483, 1.105352, 1.104382; 2.027672, 2.499338, 3.272585, 3.583274, 3.632776, 3.624962, 4.194059, 4.193062, 4.192420, 4.369168, 4.362177, 4.363471, 5.384700, 5.684194, 5.676230, 5.703874, 5.722091, 5.723697, 5.725140, 5.753233, 5.858960, 6.805153, 7.754983, 5.377382, 5.329130, 5.352592, 6.307051, 6.302643, 6.357541, 6.320443, 6.343195, 6.304945, 6.592811, 6.616362, 6.588380, 6.875284, 7.233536, 7.981207, 7.943087, 7.962592, 8.283476, 8.244639, 8.383149, 8.377807, 8.398539
