1.000000, 1.983103, 2.845428, 3.960915, 4.910541, 5.945442, 6.929615, 7.695989, 8.900289, 9.777655, 10.344181, 11.590906, 12.413854, 13.215698, 14.411233, 15.124500, 15.670434, 17.007506, 17.763410, 18.448475, 19.613731, 20.414355; 20.614169, 21.968686, 22.464847, 23.653711, 24.446304, 25.731098, 26.426356, 27.543244, 28.342754, 29.464605, 30.239787, 30.864621, 32.130572, 32.956489, 33.446969, 34.647320, 35.465019, 36.339889, 37.609934, 38.405990, 39.250507, 40.325325, 41.091399, 41.677077, 42.805471, 43.526127, 44.305613, 45.513962
1.000000, 1.944496, 2.885873, 3.784264, 4.687159, 5.501160, 6.487375, 7.460192, 8.390687, 9.383961, 10.408142, 11.176322, 12.159591, 13.130808, 13.954374, 14.833904, 15.770171, 16.610591; 17.121562, 18.153918, 19.170019, 20.235367, 21.306797, 22.263111, 23.247767, 24.318259, 25.199762, 25.930256, 26.951221, 27.903527, 28.892673, 29.773864, 30.819962, 31.832484, 32.763637, 33.229467, 34.218972, 35.120974, 36.075794, 37.109354, 37.998524, 38.935326, 39.905239, 39.118867, 40.002191, 41.003721, 41.952900, 42.985447, 43.935387, 44.842870
1.000000; 1.983350, 2.905914, 3.644262, 4.975039, 5.857845, 6.643902, 7.328663, 8.492522, 9.264487, 10.014085, 11.378046, 12.159724, 12.812108, 13.595432, 14.788610, 15.438882, 16.178093, 17.555478, 18.378094, 19.005509, 20.283722, 21.048405, 21.818332, 23.240005, 24.048026, 24.829608, 25.649598, 26.422444, 27.130038, 27.819217, 29.285530, 29.900638, 30.599403, 31.910639, 32.623737, 33.204855, 33.905533, 35.312302, 36.027913, 36.718624, 38.051256, 38.635626, 39.324860, 40.732910, 41.430142, 42.116833, 42.682136, 44.148988, 44.780877
1.000000; 1.999948, 2.676857, 3.286328, 3.916500, 5.643246, 6.295456, 6.961806, 7.617129, 9.328626, 9.979862, 10.578855, 11.881963, 12.490795, 13.099961, 13.650627, 15.284524, 16.051998, 16.658217, 17.273288, 18.890611, 19.406619, 20.040571, 21.475224, 22.156594, 22.810248, 23.468397, 25.062123, 25.753112, 26.306705, 27.078396, 28.664305, 29.453690, 29.958095, 31.143426, 31.947092, 32.461505, 32.794965, 34.179781, 35.027618, 35.756560, 36.421561, 37.720556, 38.485731, 39.225114, 5.217514, 5.363672, 5.463937, 5.561312, 5.793169
1.000000, 2.000000, 2.937738, 3.896733, 4.565982, 5.185698, 5.956034, 6.611814, 7.463759, 8.246118, 9.108632, 10.096782, 10.502143, 10.869439, 11.542388, 11.922983, 12.389258; 14.607868, 15.316349, 16.003216, 16.605433, 17.184670, 17.578711, 18.191587, 18.538984, 18.821047, 19.427296, 19.738979, 20.218099, 22.797417, 23.487557, 24.026787, 24.712305, 25.230806, 25.752836, 29.096717, 29.493650, 30.103000, 30.530674, 31.097649, 31.654892, 34.348166, 34.991272, 35.467512, 35.838360, 36.296012, 36.972013, 37.419402, 38.012741, 38.587167
1.000000; 1.999949, 2.755417, 3.225850, 4.851214, 5.476992, 5.958702, 6.392603, 8.065943, 8.706085, 9.136971, 10.843791, 11.498163, 12.111739, 12.576963, 13.806009, 14.333375, 14.867855, 16.173852, 16.803940, 17.286274, 18.860325, 19.506340, 20.136323, 21.609884, 22.220350, 22.749267, 23.388098, 24.938774, 25.503729, 26.155413, 27.682454, 28.251755, 28.927381, 30.254472, 30.950398, 31.626008, 32.172961, 33.704586, 34.257728, 34.933251, 36.279643, 36.955679, 37.637212, 39.154294, 39.719410, 40.394786, 41.076337, 42.611503, 43.294145
1.000000, 1.955117; 2.582247, 2.888637, 3.228139, 3.517320, 2.773640, 2.873478, 2.908634, 2.944997, 4.259199, 4.305764, 4.360506, 4.413270, 5.833189, 5.982417, 6.040667, 6.178200, 7.704074, 7.793329, 7.857158, 8.010324, 9.471451, 9.538933, 9.622406, 9.783728, 11.018828, 11.111440, 11.198930, 11.269133, 13.027922, 13.102549, 13.176773, 13.349126, 14.783109, 14.847924, 14.943528, 15.119961, 17.096711, 17.170815, 17.306692, 17.494371, 19.500123, 19.702498, 19.781269, 19.979048, 21.972399, 22.063405, 22.275285, 22.372693
1.000000, 1.955117; 2.534996, 3.210934, 3.877496, 4.575607, 6.134729, 6.842243, 7.534891, 8.089912, 9.126034, 9.685844, 10.218121, 10.612780, 12.397186, 12.959615, 13.506464, 14.039937, 15.878120, 16.474182, 17.047779, 17.611424, 19.258139, 19.817311, 20.228730, 20.767729, 22.684252, 23.279758, 23.712533, 24.274051, 25.843871, 26.438300, 27.025200, 27.605074, 29.175396, 29.764843, 30.347714, 30.924434, 31.405944, 32.026140, 32.653001, 33.261111, 34.464968, 34.999928, 35.631769, 36.258562, 36.467240, 37.278784, 37.929340, 38.574419
1.000000, 2.000000, 2.679753, 3.649303, 4.192064, 5.286642, 6.078579, 6.875874, 7.911706, 8.543477, 9.527262, 10.554415, 11.547192, 12.561132, 9.251089, 9.689850, 10.158083, 10.366253, 10.815801; 16.422951, 16.712241, 17.406566, 18.089549, 18.772554, 19.416163, 20.068044, 20.679686, 20.864111, 21.453812, 4.759348, 4.972877, 5.172958, 5.375071, 5.597956, 5.657512, 5.870218, 6.103300, 6.339546, 6.579508, 6.635106, 6.878982, 7.107666, 7.343472, 7.576215, 7.705310, 7.964604, 8.077077, 8.340527, 8.595915, 8.763975
1.000000, 2.000000, 2.993027, 3.344126, 4.166839, 4.881601, 5.596355, 6.976348, 7.718508, 8.617261, 9.246862, 9.795101, 10.833983, 11.741263, 12.250284, 12.812191, 7.481498, 7.515163, 7.523592, 8.436737, 8.486766, 8.596247, 8.667243, 8.391671, 9.005567, 9.193429, 9.448861, 9.476807, 10.519627, 10.504213, 10.358160, 10.360468, 12.127291, 12.166721, 12.037239, 12.051165, 12.302502, 13.188138, 14.216424, 14.210821; 14.199363, 14.524516, 14.855145, 16.723823, 16.982963, 17.481720, 18.661124, 19.016727, 19.185182, 20.903655
